City_ID,City,Lat,Lng,Max Temp C,Humidity,Cloudiness,Wind Speed,Country,Date
272,RIKAZE,29.25,88.8833,9.61,59,5,1.74,CN,1695937529
273,QUATRE COCOS,-20.2078,57.7625,22.06,74,7,6.81,MU,1695937530
274,NOVAYA IGIRMA,57.1334,103.9112,4.03,88,43,1.42,RU,1695937534
275,BERDIGESTYAKH,62.0989,126.6992,1.65,93,66,2.51,RU,1695937538
276,NISHINOOMOTE,30.7333,131.0,25.86,72,0,3.89,JP,1695937539
277,VILLA GESELL,-37.2639,-56.973,14.47,73,100,5.64,AR,1695937306
278,OUANI,-12.1322,44.4258,25.03,79,4,4.48,KM,1695937539
279,NAMDRIK,5.5994,168.1028,28.11,80,98,3.84,MH,1695937540
280,HOA BINH,20.8133,105.3383,23.94,97,98,1.08,VN,1695937540
281,AYKHAL,66.0,111.5,-4.14,53,64,2.38,RU,1695937540
282,KOSH-AGACH,50.0,88.6667,-4.65,89,48,0.76,RU,1695937541
283,BALERNO,55.8844,-3.3398,13.69,85,20,6.17,GB,1695937541
284,ARTECHE,12.2645,125.4048,25.32,93,38,2.28,PH,1695937541
285,GRAND FALLS-WINDSOR,48.9332,-55.6649,9.72,72,1,1.57,CA,1695937542
286,TINDOUF,27.6711,-8.1474,33.25,15,0,5.14,DZ,1695937542
287,VALLE NACIONAL,17.7833,-96.3167,31.87,54,56,2.25,MX,1695937542
288,MITSAMIOULI,-11.3847,43.2844,25.02,81,7,4.38,KM,1695937543
289,CROSSETT,33.1282,-91.9612,32.06,33,1,1.43,US,1695937299
290,XILIN HOT,43.9667,116.0333,9.39,29,0,9.65,CN,1695937543
291,HASAKI,35.7333,140.8333,24.22,77,53,6.96,JP,1695937544
292,FARAFANGANA,-22.8167,47.8333,20.71,88,87,3.35,MG,1695937544
293,FORT BRAGG,35.139,-79.006,24.32,69,60,1.79,US,1695937544
294,GUERRERO NEGRO,27.9769,-114.0611,23.9,57,1,6.4,MX,1695937545
295,RIBEIRA GRANDE,38.5167,-28.7,20.99,93,91,0.89,PT,1695937545
296,KHILOK,51.3674,110.4676,6.05,90,99,1.29,RU,1695937545
297,MOZHGA,56.4447,52.2276,10.98,81,100,3.73,RU,1695937546
298,LAS LAJITAS,-24.6833,-64.25,23.1,32,14,1.61,AR,1695937546
299,COBIJA,-11.0267,-68.7692,31.1,66,75,4.12,BO,1695937547
300,WAITARA,-38.925,174.25,13.61,66,53,10.12,NZ,1695937547
301,COLESBERG,-30.72,25.0972,16.21,37,0,2.36,ZA,1695937547
302,UTRIK,11.2278,169.8474,28.79,78,78,7.67,MH,1695937548
303,HIRARA,24.8,125.2833,27.15,100,75,4.63,JP,1695937548
